Abirami;w;0;5087;0;Keine
Abiramy;w;0;7996;0;Keine
Abiran;m;0;17452;0;Keine
Abire;w;0;20272;0;Keine
Abisa;w;0;11584;0;Keine
Abisan;m;0;7355;0;Keine
Abisana;w;0;17685;0;Keine
Abisanth;m;0;10836;0;Keine
Abish;m;0;13795;0;Keine
Abisha;w;0;4718;0;Keine
Abishaa;w;0;24078;0;Keine
Abishan;m;0;4048;0;Keine
Abishana;w;0;8304;0;Keine
Abishanth;m;0;9610;0;Keine
Abishek;m;0;5649;0;Keine
Abisheka;w;0;20273;0;Keine
Abishika;w;0;24079;0;Keine
Abisolom;m;0;20525;0;Keine
Abison;m;0;20526;0;Keine
Abit;m;0;12575;0;Keine
Abitha;w;0;12376;0;Keine
Abithan;m;0;13796;0;Keine
Abiy;m;0;20527;0;Keine
Abiye;m;0;20528;0;Keine
Abla;w;0;5914;0;Keine
Ablavi;w;0;8623;0;Keine
Ablawa;w;0;24080;0;Keine
Ablel;m;0;8272;0;Keine
Ablelom;m;0;13797;0;Keine
Ablewa;w;0;24081;0;Keine
Abner;m;0;9611;0;Vater der Leuchte oder des Lichts
Abolfazl;m;0;5533;0;Keine
Abolghasem;m;0;15345;0;Keine
Abolghassem;m;0;20529;0;Keine
Abolhassan;m;0;20530;0;Keine
Abou;m;0;5280;0;Keine
Aboubacar;m;0;4770;0;Keine
Aboubakar;m;0;10185;0;Keine
Aboubaker;m;0;15346;0;Keine
Aboubakr;m;0;13798;0;Keine
Aboud;m;0;17453;0;Keine
Aboudou;m;0;20531;0;Keine
Abra;w;0;8624;0;Keine
Abraao;m;0;15347;0;Keine
Abraha;w;0;24082;0;Keine
Abraha;m;0;10186;0;Keine
Abrahale;m;0;12576;0;Keine
Abrahaley;m;0;9612;0;Keine
Abraham;m;0;805;0;Keine
Abrahan;m;0;13799;0;Keine
Abrahim;m;0;17454;0;Keine
Abram;m;0;7356;0;erhabener Vater
Abramo;m;0;4851;0;Keine
Abrar;w;0;10263;0;Keine
Abrar;m;0;7357;0;Keine
Abrehaley;m;0;20532;0;Keine
Abreham;m;0;13800;0;Keine
Abrehe;m;0;17455;0;Keine
Abrehet;w;0;3933;0;Keine
Abrhaley;m;0;20533;0;Keine
Abrham;m;0;6866;0;Keine
Abrhet;w;0;10913;0;Keine
Abriel;m;0;17456;0;Keine
Abril;w;0;7043;0;Keine
Absa;w;0;17686;0;Keine
Absara;w;0;24083;0;Keine
Absera;w;0;20274;0;Keine
Abshir;m;0;7358;0;Keine
Abshira;w;0;24084;0;Keine
Abshiro;w;0;20275;0;Keine
Abtin;m;0;13801;0;Keine
Abu;m;0;4597;0;Keine
Abubacarr;m;0;20534;0;Keine
Abubakar;m;0;5410;0;Keine
Abubaker;m;0;8689;0;Keine
Abubakr;m;0;10187;0;Keine
Abubeker;m;0;13802;0;Keine
Abukar;m;0;4232;0;Keine
Abul;m;0;6648;0;Keine
Abulfaz;m;0;20535;0;Keine
